Year,E-week,Dengue,MOH threshold,Criterion,Dengue_for_calc
2005,1,431,,0,
2005,2,347,,0,
2005,3,266,,0,
2005,4,287,,0,
2005,5,283,,0,
2005,6,200,,0,
2005,7,318,,0,
2005,8,240,,0,
2005,9,156,,0,
2005,10,157,,0,
2005,11,116,,0,
2005,12,107,,0,
2005,13,137,,0,
2005,14,125,,0,
2005,15,119,,0,
2005,16,128,,0,
2005,17,118,,0,
2005,18,136,,0,
2005,19,151,,0,
2005,20,159,,0,
2005,21,161,,0,
2005,22,139,,0,
2005,23,213,,0,
2005,24,263,,0,
2005,25,319,,0,
2005,26,390,,0,
2005,27,358,,0,
2005,28,361,,0,
2005,29,409,,0,
2005,30,354,,0,
2005,31,289,,0,
2005,32,291,,0,
2005,33,412,,0,
2005,34,442,,0,
2005,35,590,,0,
2005,36,762,,0,
2005,37,688,,0,
2005,38,726,,0,
2005,39,551,,0,
2005,40,465,,0,
2005,41,399,,0,
2005,42,353,,0,
2005,43,338,,0,
2005,44,158,,0,
2005,45,217,,0,
2005,46,141,,0,
2005,47,152,,0,
2005,48,127,,0,
2005,49,96,,0,
2005,50,109,,0,
2005,51,99,,0,
2005,52,64,,0,
2006,1,91,378,1,91
2006,2,74,378,1,74
2006,3,53,378,1,53
2006,4,72,378,1,72
2006,5,41,378,1,41
2006,6,75,378,1,75
2006,7,55,378,1,55
2006,8,73,378,1,73
2006,9,60,378,1,60
2006,10,60,378,1,60
2006,11,37,378,1,37
2006,12,44,378,1,44
2006,13,39,378,1,39
2006,14,40,378,1,40
2006,15,40,378,1,40
2006,16,32,378,1,32
2006,17,38,378,1,38
2006,18,51,378,1,51
2006,19,42,378,1,42
2006,20,74,378,1,74
2006,21,80,378,1,80
2006,22,76,378,1,76
2006,23,84,378,1,84
2006,24,84,378,1,84
2006,25,87,378,1,87
2006,26,94,378,1,94
2006,27,104,378,1,104
2006,28,101,378,1,101
2006,29,100,378,1,100
2006,30,70,378,1,70
2006,31,78,378,1,78
2006,32,80,378,1,80
2006,33,73,378,1,73
2006,34,77,378,1,77
2006,35,59,378,1,59
2006,36,56,378,1,56
2006,37,58,378,1,58
2006,38,54,378,1,54
